Train_ID,Train_Type,Priority,Section_ID,Scheduled_Arrival,Scheduled_Departure,Delay_Mins,Junction_Ahead,Platform_Avail,Track_Capacity,Signal_Status,Maintenance_Block,Disruption,Conflict_Flag,Throughput_Target,Hour
10056,Express,Medium,SEC_11,01:22,03:27,25,Yes,0,3,Green,No,None,0,17,1
10057,Local,Medium,SEC_10,07:29,20:14,4,No,3,4,Yellow,No,None,0,12,7
10058,Passenger,Medium,SEC_34,06:27,10:32,30,Yes,1,3,Green,No,Congestion,1,12,6
10059,Local,Medium,SEC_05,08:49,01:58,10,Yes,2,2,Green,No,None,1,18,8
10060,Passenger,Medium,SEC_23,16:31,07:47,2,No,4,1,Green,No,None,0,19,16
10061,Passenger,Low,SEC_25,00:26,00:34,24,No,4,1,Green,No,Weather,0,14,0
10062,Local,Medium,SEC_29,11:35,17:25,1,Yes,3,2,Green,No,None,0,12,11
10063,Maintenance,Low,SEC_40,16:06,15:20,21,No,4,3,Green,No,Breakdown,0,14,16
10064,Passenger,Low,SEC_13,23:02,19:51,3,No,3,4,Green,Yes,None,0,16,23
10065,Passenger,Medium,SEC_47,00:50,12:19,20,No,2,4,Yellow,No,Weather,0,17,0
10066,Local,High,SEC_32,01:37,03:35,1,No,0,2,Red,No,None,0,19,1
10067,Passenger,Medium,SEC_34,10:54,21:33,0,No,4,3,Red,Yes,None,0,12,10
10068,Passenger,Low,SEC_12,20:35,12:12,8,Yes,1,1,Green,No,Congestion,0,10,20
10069,Local,High,SEC_24,00:42,19:38,2,No,3,1,Yellow,No,None,0,14,0
10070,Local,Medium,SEC_40,15:37,06:16,5,No,2,1,Green,No,None,0,19,15
10071,Express,Low,SEC_21,10:07,09:11,30,Yes,1,1,Green,No,None,0,17,10
10072,Maintenance,Medium,SEC_29,19:00,22:58,13,No,0,2,Yellow,No,Congestion,0,11,19
10073,Maintenance,Medium,SEC_23,13:29,21:29,24,No,1,1,Green,No,None,0,15,13
10074,Passenger,High,SEC_33,20:57,15:33,30,No,3,2,Green,Yes,Weather,0,18,20
10075,Maintenance,High,SEC_08,20:33,21:20,0,No,4,2,Green,No,None,0,18,20
10076,Passenger,Medium,SEC_42,05:25,08:11,11,No,0,4,Green,No,Breakdown,0,16,5
10077,Express,High,SEC_13,08:13,16:15,20,No,3,2,Red,Yes,None,0,10,8
10078,Local,High,SEC_05,21:39,04:18,15,Yes,2,4,Red,No,Congestion,0,10,21
10079,Local,Low,SEC_41,02:41,16:21,19,Yes,1,3,Green,No,None,0,11,2
10080,Local,Medium,SEC_10,17:19,02:48,30,No,1,1,Yellow,No,None,0,18,17
10081,Maintenance,Low,SEC_14,08:40,14:18,18,No,0,3,Green,No,Weather,0,11,8
10082,Express,Low,SEC_24,18:59,14:49,17,Yes,0,3,Green,No,Weather,1,16,18
10083,Maintenance,High,SEC_11,12:32,11:59,13,No,2,4,Green,No,None,0,12,12
10084,Maintenance,High,SEC_46,16:03,11:55,2,No,2,4,Yellow,No,None,1,19,16
10085,Express,Medium,SEC_03,03:58,02:42,13,No,0,4,Green,No,None,0,16,3
10086,Express,Medium,SEC_29,15:59,22:09,16,No,3,2,Yellow,No,None,1,18,15
10087,Express,High,SEC_48,15:46,21:46,12,No,3,1,Green,No,None,1,19,15
10088,Express,Medium,SEC_30,05:36,22:10,0,No,0,4,Green,No,None,0,19,5
10089,Local,High,SEC_49,21:41,22:25,28,No,1,4,Green,No,None,0,19,21
10090,Freight,Low,SEC_37,06:06,00:51,28,No,4,2,Red,No,None,0,15,6
10091,Freight,High,SEC_07,09:29,03:52,7,No,2,1,Red,No,None,0,12,9
10092,Express,High,SEC_17,09:56,20:07,20,No,3,3,Yellow,No,Congestion,1,13,9
10093,Freight,High,SEC_20,14:05,19:44,1,No,4,4,Green,No,None,0,20,14
10094,Freight,Low,SEC_11,23:01,16:14,18,No,1,3,Green,Yes,None,0,17,23
10095,Express,Medium,SEC_44,07:56,20:00,14,Yes,2,2,Yellow,No,None,0,13,7
10096,Freight,Low,SEC_25,19:14,02:30,13,No,3,1,Green,No,None,0,18,19
10097,Maintenance,Medium,SEC_24,20:20,23:57,13,Yes,3,4,Green,No,None,1,16,20
10098,Passenger,Medium,SEC_02,17:04,20:22,17,No,1,2,Green,No,Congestion,0,19,17
10099,Passenger,High,SEC_27,03:09,16:21,14,No,1,2,Green,No,None,0,11,3
10100,Express,Medium,SEC_19,18:45,23:21,9,Yes,3,3,Yellow,No,None,0,14,18
10101,Local,Medium,SEC_29,22:23,03:58,17,Yes,3,2,Red,No,Weather,0,18,22
10102,Express,Medium,SEC_37,12:09,07:46,19,Yes,4,2,Green,No,Weather,0,11,12
10103,Local,High,SEC_11,21:05,07:13,27,Yes,1,1,Red,No,Breakdown,1,17,21
10104,Passenger,Low,SEC_19,12:20,05:23,3,Yes,1,1,Green,No,Breakdown,1,19,12
10105,Express,High,SEC_28,10:53,21:14,6,No,4,1,Green,No,None,0,12,10
10106,Maintenance,Low,SEC_39,14:01,19:26,1,Yes,1,2,Yellow,No,Weather,0,10,14
10107,Freight,High,SEC_21,14:50,21:30,8,Yes,0,4,Red,No,Breakdown,0,13,14
10108,Local,Medium,SEC_26,16:19,08:55,22,Yes,2,1,Red,Yes,Breakdown,0,18,16
10109,Freight,Medium,SEC_22,17:05,22:04,3,Yes,0,4,Yellow,No,None,0,12,17
10110,Freight,Medium,SEC_06,14:16,12:38,11,No,1,2,Green,No,Weather,1,11,14
10111,Express,Medium,SEC_11,23:25,16:39,22,No,4,1,Green,No,Congestion,0,11,23
10112,Freight,Medium,SEC_14,21:08,04:54,30,Yes,3,4,Green,Yes,None,0,11,21
10113,Maintenance,Medium,SEC_36,11:21,06:07,9,No,1,1,Yellow,No,None,0,11,11
10114,Freight,Medium,SEC_40,22:36,06:21,10,No,3,1,Green,No,None,0,20,22
10115,Express,Medium,SEC_41,13:23,11:37,0,No,2,4,Green,Yes,None,0,12,13
10116,Maintenance,Low,SEC_02,07:25,20:20,12,Yes,0,4,Green,No,None,0,13,7
10117,Passenger,High,SEC_43,21:48,03:31,6,Yes,2,4,Red,Yes,None,0,13,21
10118,Freight,Medium,SEC_20,08:02,22:28,28,Yes,3,2,Green,No,None,0,18,8
10119,Express,Medium,SEC_22,06:11,02:04,5,No,2,3,Green,No,None,0,10,6
10120,Passenger,Medium,SEC_39,02:40,18:07,30,No,3,3,Green,No,None,0,14,2
10121,Passenger,Medium,SEC_04,13:22,04:30,8,No,0,2,Green,No,None,1,12,13
10122,Local,Medium,SEC_29,22:54,12:41,23,No,3,4,Green,No,None,0,18,22
10123,Maintenance,High,SEC_46,17:10,05:00,17,No,0,4,Green,No,None,0,18,17
10124,Freight,High,SEC_24,03:25,10:51,30,No,1,2,Green,No,Congestion,0,15,3
10125,Express,High,SEC_01,07:27,08:30,26,No,3,3,Red,No,None,0,13,7
10126,Local,Medium,SEC_24,17:12,15:14,2,Yes,2,2,Yellow,No,None,0,11,17
10127,Maintenance,Medium,SEC_30,03:41,04:14,12,Yes,4,4,Yellow,No,Weather,0,18,3
10128,Local,Low,SEC_12,07:43,00:14,2,Yes,2,4,Yellow,No,Breakdown,0,12,7
10129,Maintenance,Medium,SEC_19,18:11,03:59,12,Yes,4,1,Yellow,No,None,0,20,18
10130,Maintenance,High,SEC_37,21:59,15:53,29,Yes,2,3,Green,No,Weather,1,11,21
10131,Freight,Low,SEC_40,01:55,06:54,27,No,3,4,Green,No,Breakdown,1,18,1
10132,Maintenance,Low,SEC_43,07:27,07:52,5,No,1,2,Green,No,None,0,19,7
10133,Local,Medium,SEC_04,12:32,21:26,17,No,3,2,Green,No,None,0,20,12
10134,Maintenance,Medium,SEC_15,02:33,01:29,26,No,0,3,Green,No,None,0,17,2
10135,Freight,Low,SEC_20,22:54,11:57,1,No,1,2,Green,No,None,0,19,22
10136,Freight,Medium,SEC_44,19:27,01:45,19,Yes,3,3,Yellow,No,None,0,19,19
10137,Local,Low,SEC_20,07:02,18:51,16,Yes,1,2,Green,No,Breakdown,0,20,7
10138,Passenger,High,SEC_21,20:29,05:21,0,Yes,0,2,Green,No,None,0,19,20
10139,Passenger,High,SEC_10,14:29,18:16,16,No,4,4,Red,No,Congestion,0,15,14
10140,Maintenance,Medium,SEC_30,01:24,02:51,4,No,1,3,Green,No,None,0,16,1
10141,Express,Medium,SEC_24,16:58,09:55,28,Yes,1,4,Yellow,No,None,0,20,16
10142,Maintenance,Low,SEC_48,23:37,12:51,8,No,0,3,Green,No,None,1,18,23
10143,Local,Low,SEC_40,00:35,22:28,3,Yes,3,4,Green,No,Weather,0,17,0
10144,Local,Medium,SEC_40,18:06,17:18,13,No,4,4,Green,No,None,0,15,18
10145,Local,High,SEC_38,22:53,16:07,7,No,1,1,Yellow,No,Breakdown,0,10,22
10146,Local,Low,SEC_03,13:25,17:06,22,Yes,1,4,Green,No,Breakdown,0,17,13
10147,Local,Medium,SEC_29,13:41,22:10,12,No,1,4,Green,No,None,0,20,13
10148,Freight,High,SEC_08,23:06,02:01,5,No,1,2,Red,No,Congestion,0,12,23
10149,Passenger,Medium,SEC_29,15:35,18:27,13,No,0,2,Green,No,None,1,15,15
10150,Local,Medium,SEC_10,06:14,23:27,8,No,1,3,Green,No,None,0,11,6
10151,Express,Medium,SEC_05,16:02,10:39,25,No,4,1,Yellow,No,None,0,17,16
10152,Express,Medium,SEC_11,15:01,10:01,16,No,0,3,Yellow,No,None,0,13,15
10153,Express,Medium,SEC_04,06:56,11:40,6,Yes,1,2,Green,Yes,Congestion,0,17,6
10154,Express,Low,SEC_49,15:20,05:11,8,No,4,3,Yellow,No,None,0,16,15
10155,Freight,Medium,SEC_35,08:11,17:24,14,No,2,2,Red,No,None,0,17,8
10156,Express,Medium,SEC_50,23:32,04:30,9,Yes,2,2,Yellow,No,None,1,11,23
10157,Local,High,SEC_40,13:42,21:16,13,Yes,4,3,Green,No,None,0,20,13
10158,Maintenance,Medium,SEC_12,17:53,15:11,15,No,1,2,Red,No,Weather,0,16,17
10159,Express,High,SEC_21,04:14,01:15,28,No,1,2,Red,No,None,1,17,4
10160,Freight,High,SEC_16,06:24,00:51,29,Yes,0,1,Yellow,No,None,1,12,6
10161,Freight,Medium,SEC_14,13:51,01:44,1,No,1,1,Yellow,No,Congestion,0,16,13
10162,Express,High,SEC_21,07:35,15:00,30,Yes,0,2,Green,No,None,0,16,7
10163,Maintenance,Medium,SEC_48,02:43,18:35,28,No,1,2,Green,No,Weather,0,12,2
10164,Express,High,SEC_27,17:23,19:02,3,No,3,4,Yellow,No,None,0,14,17
10165,Freight,Medium,SEC_36,14:10,01:11,20,No,3,4,Green,Yes,None,0,18,14
10166,Passenger,High,SEC_01,23:10,23:57,30,No,4,2,Yellow,Yes,None,1,19,23
10167,Local,High,SEC_01,11:50,12:26,14,Yes,3,1,Red,No,Weather,1,15,11
10168,Freight,High,SEC_22,16:05,17:36,10,No,2,2,Green,No,Weather,0,20,16
10169,Express,Low,SEC_15,20:07,22:24,20,No,2,1,Green,No,None,0,14,20
10170,Local,Low,SEC_20,14:53,11:50,10,Yes,0,1,Green,No,None,0,13,14
10171,Express,High,SEC_03,19:31,00:08,28,No,2,4,Green,No,None,0,20,19
10172,Express,Medium,SEC_14,09:27,00:55,22,No,1,2,Yellow,No,None,0,17,9
10173,Passenger,Medium,SEC_09,14:11,17:22,25,No,0,1,Green,No,Congestion,0,18,14
10174,Local,Low,SEC_19,10:17,02:37,23,No,3,2,Red,No,Breakdown,0,15,10
10175,Local,Medium,SEC_40,23:36,21:35,12,Yes,3,3,Red,No,None,0,14,23
10176,Passenger,Medium,SEC_34,11:23,23:43,15,No,2,3,Green,No,None,0,13,11
10177,Freight,High,SEC_04,04:53,11:04,8,Yes,2,4,Green,Yes,None,0,17,4
10178,Express,Medium,SEC_33,09:13,22:28,20,No,1,3,Green,Yes,None,1,18,9
10179,Maintenance,Low,SEC_43,15:36,20:12,1,Yes,3,3,Green,No,Congestion,1,19,15
10180,Express,Medium,SEC_37,10:50,11:03,1,No,2,2,Yellow,No,Breakdown,1,17,10
10181,Express,High,SEC_02,07:18,05:50,4,No,3,4,Red,No,None,0,12,7
10182,Freight,High,SEC_27,19:53,05:05,30,No,3,4,Red,No,Congestion,1,12,19
10183,Express,Medium,SEC_45,17:29,10:26,4,No,2,3,Green,Yes,Weather,0,14,17
10184,Passenger,Medium,SEC_17,22:52,21:45,4,No,3,2,Green,No,None,0,16,22
10185,Passenger,Medium,SEC_49,11:57,02:39,13,No,2,2,Green,No,None,0,11,11
10186,Local,Low,SEC_50,12:20,03:26,5,No,4,4,Yellow,No,None,0,17,12
10187,Maintenance,High,SEC_31,20:28,15:17,27,Yes,2,2,Yellow,No,None,1,15,20
10188,Express,Medium,SEC_41,17:26,06:10,15,No,3,2,Red,No,None,0,10,17
10189,Express,Low,SEC_06,14:46,07:58,30,No,4,4,Green,No,None,1,19,14
10190,Freight,Medium,SEC_31,11:57,19:05,15,No,3,2,Green,No,None,0,19,11
10191,Passenger,High,SEC_03,08:18,23:47,7,No,3,1,Green,No,None,0,19,8
10192,Maintenance,Medium,SEC_40,11:22,04:56,26,Yes,4,4,Red,No,Weather,0,10,11
10193,Local,Low,SEC_03,04:57,05:37,4,No,1,3,Green,No,Weather,0,13,4
10194,Passenger,High,SEC_33,20:51,01:30,12,No,4,1,Yellow,No,Breakdown,0,16,20
10195,Local,Low,SEC_13,09:21,06:31,2,No,3,1,Yellow,No,None,0,19,9
10196,Freight,Medium,SEC_21,06:22,08:14,8,No,3,4,Green,No,None,0,13,6
10197,Freight,High,SEC_37,10:27,20:45,3,No,1,3,Yellow,No,Breakdown,0,14,10
10198,Express,Medium,SEC_16,07:52,20:27,27,No,4,4,Green,No,None,0,15,7
10199,Maintenance,Medium,SEC_21,06:47,12:26,7,No,2,2,Green,No,Weather,0,14,6
10200,Local,Medium,SEC_48,15:45,04:16,15,No,3,4,Green,No,None,1,15,15
10201,Passenger,Medium,SEC_44,14:51,04:57,24,No,4,2,Green,No,None,0,18,14
10202,Freight,Low,SEC_13,08:47,23:30,10,Yes,0,3,Green,No,None,0,12,8
10203,Express,High,SEC_04,15:04,02:40,22,No,3,4,Green,Yes,None,0,16,15
10204,Express,Medium,SEC_31,02:52,08:53,18,No,2,3,Yellow,No,None,0,17,2
10205,Local,Medium,SEC_09,12:28,03:19,9,No,3,3,Green,No,None,0,20,12
10206,Freight,Medium,SEC_48,07:16,10:16,26,No,4,1,Yellow,No,None,0,18,7
10207,Maintenance,Medium,SEC_33,04:37,13:09,21,Yes,1,4,Yellow,Yes,Breakdown,0,16,4
10208,Freight,High,SEC_37,01:29,04:20,6,No,0,4,Red,No,None,0,12,1
10209,Local,Medium,SEC_37,21:45,20:59,11,Yes,2,1,Yellow,No,Congestion,1,19,21
10210,Local,Medium,SEC_24,03:34,16:15,22,No,3,3,Yellow,No,None,1,12,3
10211,Freight,High,SEC_25,08:49,00:09,29,No,2,4,Yellow,No,Weather,0,13,8
10212,Local,Low,SEC_41,11:08,11:17,7,No,1,3,Green,No,None,1,16,11
10213,Freight,Low,SEC_29,17:29,00:28,9,Yes,0,3,Green,No,None,0,13,17
10214,Passenger,Medium,SEC_40,12:58,23:59,4,Yes,2,4,Green,Yes,None,0,14,12
10215,Freight,High,SEC_50,13:30,11:19,4,No,4,3,Yellow,No,Congestion,0,11,13
10216,Freight,Medium,SEC_47,09:02,05:07,12,Yes,4,1,Green,No,None,1,15,9
10217,Local,High,SEC_36,06:17,13:04,1,Yes,2,3,Yellow,No,None,0,18,6
10218,Local,High,SEC_15,15:48,21:35,11,No,0,3,Green,No,None,0,11,15
10219,Express,Medium,SEC_45,05:24,21:47,10,Yes,3,4,Yellow,No,None,0,17,5
10220,Express,High,SEC_18,11:31,05:02,1,Yes,4,3,Green,No,Breakdown,0,20,11
10221,Passenger,High,SEC_20,18:02,03:21,14,No,3,3,Green,No,None,1,16,18
10222,Express,High,SEC_05,02:49,07:13,19,No,3,4,Red,Yes,None,0,20,2
10223,Freight,High,SEC_18,10:05,06:03,6,No,2,2,Yellow,No,None,0,13,10
10224,Local,High,SEC_40,18:36,18:42,7,Yes,4,2,Red,Yes,None,0,13,18
10225,Express,Low,SEC_01,12:26,14:23,2,No,2,3,Green,No,None,0,13,12
10226,Express,High,SEC_19,04:25,15:05,16,No,1,1,Red,No,None,0,13,4
10227,Passenger,High,SEC_23,02:18,11:07,19,No,3,4,Yellow,No,Congestion,0,13,2
10228,Passenger,High,SEC_26,16:53,09:42,5,Yes,0,4,Green,No,None,0,18,16
10229,Freight,Low,SEC_49,02:46,08:57,21,Yes,3,2,Green,No,None,0,14,2
10230,Local,Medium,SEC_29,16:12,16:59,24,No,0,1,Green,No,None,0,13,16
10231,Passenger,Medium,SEC_34,13:29,13:02,14,No,2,2,Yellow,No,Congestion,1,15,13
10232,Express,Low,SEC_19,15:56,08:51,12,Yes,4,2,Yellow,No,Weather,0,15,15
10233,Local,Medium,SEC_48,10:16,17:48,22,Yes,3,3,Green,No,None,0,12,10
10234,Local,Medium,SEC_18,04:52,04:51,12,No,1,4,Green,No,Congestion,1,20,4
10235,Express,High,SEC_02,14:17,20:26,11,Yes,3,3,Yellow,No,None,0,10,14
10236,Passenger,Medium,SEC_27,15:13,20:23,13,Yes,0,3,Green,No,Breakdown,0,18,15
10237,Express,Medium,SEC_06,13:44,05:02,8,Yes,0,1,Yellow,No,None,0,14,13
10238,Local,Medium,SEC_39,00:37,15:14,9,Yes,0,4,Green,No,Congestion,0,19,0
10239,Maintenance,High,SEC_06,22:10,07:40,26,Yes,4,1,Green,No,Congestion,0,15,22
10240,Maintenance,Medium,SEC_06,10:56,03:31,4,No,1,1,Green,No,Breakdown,0,13,10
10241,Freight,High,SEC_31,15:55,12:55,20,Yes,1,3,Green,No,None,0,15,15
10242,Express,High,SEC_41,02:24,02:52,4,Yes,0,2,Yellow,Yes,None,1,16,2
10243,Express,Medium,SEC_40,16:21,06:47,20,No,1,4,Green,No,Breakdown,0,10,16
10244,Freight,Low,SEC_30,13:25,16:29,29,No,1,2,Green,No,None,0,10,13
10245,Freight,Medium,SEC_21,01:25,16:18,19,No,2,4,Yellow,No,None,0,18,1
10246,Freight,Medium,SEC_41,08:39,19:30,5,No,1,2,Green,No,None,0,16,8
10247,Local,High,SEC_44,10:06,16:55,11,Yes,0,3,Green,No,None,0,17,10
10248,Express,High,SEC_18,21:01,01:58,16,No,4,4,Yellow,No,None,0,15,21
10249,Local,High,SEC_23,03:57,04:47,15,No,2,2,Green,No,None,0,18,3
10250,Freight,Medium,SEC_38,22:13,21:42,17,No,1,2,Green,No,Weather,1,14,22
10251,Express,High,SEC_23,12:53,21:37,24,Yes,2,4,Green,No,None,0,13,12
10252,Local,High,SEC_28,12:12,10:32,21,Yes,3,1,Green,No,None,0,11,12
10253,Local,Medium,SEC_36,04:59,18:02,5,Yes,2,1,Green,No,Congestion,0,20,4
10254,Freight,High,SEC_25,11:05,07:21,9,No,2,4,Red,No,None,0,20,11
10255,Express,Medium,SEC_07,21:13,17:44,19,Yes,2,3,Green,No,None,1,15,21
10256,Freight,Medium,SEC_18,07:23,00:19,20,No,1,4,Yellow,No,None,0,10,7
10257,Express,Medium,SEC_20,21:39,16:04,8,No,2,4,Green,No,Weather,1,15,21
10258,Maintenance,Medium,SEC_05,06:48,11:10,1,No,4,2,Green,No,None,0,19,6
10259,Passenger,Medium,SEC_18,20:42,23:57,2,Yes,1,3,Green,No,Weather,0,15,20
10260,Passenger,High,SEC_42,09:12,17:07,9,Yes,0,1,Green,No,Breakdown,0,13,9
10261,Passenger,Medium,SEC_40,09:52,23:21,7,No,3,2,Green,No,Weather,0,10,9
10262,Freight,Low,SEC_33,13:08,23:44,8,Yes,0,2,Red,Yes,None,1,17,13
10263,Maintenance,High,SEC_15,06:38,01:22,30,Yes,1,1,Green,No,None,0,20,6
10264,Express,High,SEC_35,17:15,15:43,27,Yes,0,2,Red,No,None,0,12,17
10265,Local,Low,SEC_47,07:47,07:03,20,No,3,3,Green,No,Weather,1,14,7
10266,Express,Medium,SEC_46,18:14,13:08,18,Yes,2,2,Yellow,No,None,1,12,18
10267,Local,Medium,SEC_01,14:37,10:47,30,No,0,1,Green,No,Weather,0,13,14
10268,Express,Medium,SEC_21,08:14,05:43,0,No,1,1,Green,No,None,1,18,8
10269,Maintenance,High,SEC_08,06:25,18:15,27,No,4,3,Yellow,No,Congestion,1,16,6
10270,Local,Medium,SEC_07,07:17,12:35,1,No,3,3,Green,No,None,0,19,7
10271,Freight,Medium,SEC_41,20:15,11:35,19,No,0,4,Green,No,None,1,17,20
10272,Express,High,SEC_50,14:02,16:13,3,No,4,4,Green,Yes,None,1,11,14
10273,Express,Medium,SEC_44,00:12,16:00,15,Yes,3,1,Green,No,None,0,19,0
10274,Local,Medium,SEC_40,21:31,19:32,20,Yes,0,3,Yellow,No,Congestion,0,18,21
10275,Freight,Medium,SEC_40,11:30,21:01,24,No,1,1,Green,No,Weather,0,16,11
10276,Freight,High,SEC_30,08:01,16:22,29,Yes,4,3,Yellow,No,Weather,0,19,8
10277,Maintenance,Medium,SEC_38,08:07,21:00,11,No,4,1,Red,No,Weather,0,10,8
10278,Freight,Medium,SEC_35,04:44,11:12,1,Yes,0,3,Green,No,None,0,18,4
10279,Freight,Medium,SEC_02,01:41,13:09,14,Yes,0,3,Green,No,None,0,20,1
10280,Freight,Medium,SEC_46,05:38,11:56,30,Yes,1,4,Red,No,Congestion,0,18,5
10281,Passenger,High,SEC_08,02:45,21:17,17,Yes,1,4,Green,No,None,0,10,2
10282,Maintenance,Medium,SEC_38,15:37,06:18,15,Yes,2,4,Green,No,None,0,14,15
10283,Express,Medium,SEC_04,21:39,14:38,20,No,0,3,Yellow,No,None,0,10,21
10284,Local,High,SEC_37,00:51,13:08,11,No,1,3,Yellow,No,None,0,16,0
10285,Express,Medium,SEC_21,14:16,04:32,17,Yes,0,4,Yellow,No,None,0,19,14
10286,Maintenance,Medium,SEC_13,23:17,15:04,13,No,1,4,Green,No,None,0,17,23
10287,Local,Medium,SEC_09,23:02,23:07,25,Yes,3,2,Green,No,None,0,16,23
10288,Maintenance,High,SEC_45,23:05,18:51,20,Yes,1,1,Green,No,None,0,11,23
10289,Freight,Medium,SEC_29,16:54,11:07,11,Yes,1,4,Green,No,None,0,13,16
